2019-11-18 10:10:43.072634, 11, 26
2019-11-18 10:10:43.575209, 12, 27
2019-11-18 10:10:44.077097, 13, 28
2019-11-18 10:10:44.578940, 14, 29
2019-11-18 10:10:45.080795, 15, 30
2019-11-18 10:10:45.582606, 16, 31
2019-11-18 10:10:46.084363, 17, 32
2019-11-18 10:10:46.586211, 18, 33
2019-11-18 10:10:47.087671, 19, 34
2019-11-18 10:10:47.592405, 20, 35
2019-11-18 10:10:48.093854, 21, 36
2019-11-18 10:10:48.595612, 22, 37
2019-11-18 10:10:49.099520, 23, 38
2019-11-18 10:10:49.601321, 24, 39
2019-11-18 10:10:50.103094, 25, 40
2019-11-18 10:10:50.608554, 26, 41
2019-11-18 10:10:51.109384, 27, 42
2019-11-18 10:10:51.614807, 28, 43
2019-11-18 10:10:52.116519, 29, 44
2019-11-18 10:10:52.620161, 30, 45
2019-11-18 10:10:53.121865, 31, 46
2019-11-18 10:10:53.624747, 32, 47
2019-11-18 10:10:54.129944, 33, 48
2019-11-18 10:10:54.631513, 34, 49
2019-11-18 10:10:55.136896, 35, 50
2019-11-18 10:10:55.638560, 36, 51
2019-11-18 10:10:56.140180, 37, 52
2019-11-18 10:10:56.641797, 38, 53
2019-11-18 10:10:57.143670, 39, 54
2019-11-18 10:10:57.645926, 40, 55
